City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Butaritari,KI,81.55,moderate rain,3.0707,172.7902,Isles Sunset Lodge
1,Bambous Virieux,MU,82.65,scattered clouds,-20.3428,57.7575,Casa Tia Villa
3,Kapaa,US,75.52,heavy intensity rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
7,New Norfolk,AU,72.9,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
8,Bhainsdehi,IN,75.88,clear sky,21.6467,77.6325,Prince Rathore HOME
10,Rikitea,PF,76.73,overcast clouds,-23.1203,-134.9692,People ThankYou
12,Itarema,BR,80.8,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
16,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
19,Atuona,PF,78.69,clear sky,-9.8,-139.0333,Villa Enata
22,Kahului,US,74.84,heavy intensity rain,20.8947,-156.47,Maui Seaside Hotel
24,Port Blair,IN,81.82,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
27,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
30,Busselton,AU,76.78,scattered clouds,-33.65,115.3333,Observatory Guest House
34,Dhanwar,IN,76.08,few clouds,24.4167,85.9833,K G N HOTEL
35,Moree,AU,80.62,scattered clouds,-29.4667,149.85,Molika Springs Motel
42,Bengkulu,ID,84.43,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
47,Arraial Do Cabo,BR,73.53,heavy intensity rain,-22.9661,-42.0278,Pousada Porto Praia
49,Grenville,GD,80.65,broken clouds,12.1167,-61.6167,Valley Breeze Guest House
51,Touros,BR,76.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
52,Vao,NC,76.84,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
61,Souillac,MU,82.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
65,Lao Cai,VN,74.16,clear sky,22.4833,103.95,Legend Hotel
67,Conceicao Do Araguaia,BR,72.73,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
72,Saint-Philippe,RE,85.55,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
73,Bubaque,GW,80.64,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
74,Nisia Floresta,BR,77.38,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
75,Port-Gentil,GA,79.3,light rain,-0.7193,8.7815,Fengshui Residence
77,Kieta,PG,83.03,light rain,-6.2167,155.6333,Uruna Bay Retreat
80,Puerto Ayacucho,VE,76.05,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
81,San Juan,AR,75.97,broken clouds,-31.5375,-68.5364,Hotel Provincial
82,Trairi,BR,80.58,broken clouds,-3.2778,-39.2689,janelas do mar
85,Makakilo City,US,71.92,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
86,Maragogi,BR,76.5,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
90,Cairns,AU,97.07,few clouds,-16.9167,145.7667,Mantra Trilogy Cairns
94,Bairiki,KI,84.2,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
96,Faanui,PF,80.76,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
97,Ballina,AU,73.78,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
98,Cabuyaro,CO,78.03,overcast clouds,4.2817,-72.794,Hotel La Cuarta
99,Kavieng,PG,83.46,moderate rain,-2.5744,150.7967,Nusa Island Retreat
100,Galesong,ID,77.02,moderate rain,-5.3166,119.3661,Sapriadi Appy
102,Ourossogui,SN,73.4,overcast clouds,15.6064,-13.3211,Hotel welma
